Categorias,Variavel
fornecedor1,22.8
fornecedor1,23.4
fornecedor1,26.2
fornecedor1,24.3
fornecedor1,22
fornecedor1,24.8
fornecedor1,26.7
fornecedor1,25.1
fornecedor1,23.1
fornecedor1,22.8
fornecedor1,25.6
fornecedor1,25.1
fornecedor1,24.3
fornecedor1,24.2
fornecedor1,22.8
fornecedor1,23.2
fornecedor1,24.7
fornecedor1,26.5
fornecedor1,24.5
fornecedor1,23.6
fornecedor1,23.9
fornecedor1,22.8
fornecedor1,25.4
fornecedor1,26.7
fornecedor1,22.9
fornecedor1,23.5
fornecedor1,23.8
fornecedor1,24.6
fornecedor1,26.3
fornecedor1,22.7
fornecedor2,26.8
fornecedor2,29.3
fornecedor2,28.4
fornecedor2,25.6
fornecedor2,29.4
fornecedor2,27.2
fornecedor2,27.6
fornecedor2,26.8
fornecedor2,25.4
fornecedor2,28.6
fornecedor2,29.7
fornecedor2,27.2
fornecedor2,27.9
fornecedor2,28.4
fornecedor2,26
fornecedor2,26.8
fornecedor2,27.5
fornecedor2,28.5
fornecedor2,27.3
fornecedor2,29.1
fornecedor2,29.2
fornecedor2,25.7
fornecedor2,28.4
fornecedor2,28.6
fornecedor2,27.9
fornecedor2,27.4
fornecedor2,26.7
fornecedor2,26.8
fornecedor2,25.6
fornecedor2,26.1
